| Name              | AP         | Recall@K   | B.Accuracy | N_Pos  | N_Neg  |
| cut               | 0.7606     | 0.7561     | 0.7619     | 123    | 230    |
| assorted          | 0.8045     | 0.6087     | 0.7470     | 46     | 44     |
| rusty             | 0.7199     | 0.5854     | 0.7117     | 82     | 400    |
| illuminated       | 0.7595     | 0.7522     | 0.7651     | 113    | 174    |
| pepperoni         | 0.4395     | 0.5294     | 0.6632     | 17     | 104    |
| funny             | 0.4255     | 0.4667     | 0.6717     | 15     | 73     |
| messy             | 0.6189     | 0.3846     | 0.6784     | 52     | 149    |
| lush              | 0.8054     | 0.8261     | 0.8060     | 46     | 78     |
| silhouetted       | 0.7743     | 0.5417     | 0.7381     | 48     | 210    |
| fancy             | 0.7378     | 0.4444     | 0.6582     | 27     | 37     |
| shining           | 0.8148     | 0.6349     | 0.7734     | 63     | 97     |
| stainless         | 0.7070     | 0.4783     | 0.6484     | 23     | 29     |
| digital           | 0.6700     | 0.5714     | 0.6640     | 49     | 124    |
| out of focus      | 0.6503     | 0.6522     | 0.6913     | 46     | 104    |
| shiny             | 0.7489     | 0.6963     | 0.7286     | 349    | 554    |
| glowing           | 0.7303     | 0.6500     | 0.7375     | 20     | 32     |
| for sale          | 0.7705     | 0.5926     | 0.7372     | 27     | 68     |
| patchy            | 0.9430     | 0.8667     | 0.8548     | 15     | 42     |
| filled            | 0.8667     | 0.6538     | 0.7073     | 130    | 117    |
| printed           | 0.8336     | 0.7586     | 0.7485     | 87     | 111    |
| stacked           | 0.5937     | 0.5893     | 0.6856     | 112    | 334    |
| potted            | 0.8710     | 0.7895     | 0.8208     | 38     | 74     |
| blurry            | 0.7733     | 0.7131     | 0.7900     | 122    | 490    |
| shingled          | 0.4564     | 0.8571     | 0.6720     | 7      | 27     |
| night             | 0.9306     | 0.8889     | 0.8889     | 9      | 56     |
| bent              | 0.8103     | 0.6300     | 0.7648     | 100    | 163    |
| grassy            | 0.9740     | 0.9151     | 0.9128     | 259    | 242    |
| unlit             | 0.5085     | 0.4000     | 0.5026     | 25     | 31     |
| directional       | 0.8192     | 0.7241     | 0.7827     | 29     | 63     |
| leafless          | 0.8865     | 0.8161     | 0.8341     | 87     | 136    |
| sliced            | 0.8363     | 0.8378     | 0.7626     | 148    | 123    |
| frosted           | 0.7341     | 0.5625     | 0.7727     | 32     | 176    |
| extended          | 0.8777     | 0.7586     | 0.7520     | 87     | 70     |
| topped            | 0.7945     | 0.9412     | 0.7269     | 17     | 14     |
| writing           | 0.1053     | 0.0000     | 0.4512     | 8      | 82     |
| fallen            | 0.8337     | 0.6735     | 0.8045     | 49     | 127    |
| athletic          | 0.7530     | 0.6875     | 0.7598     | 32     | 81     |
| floating          | 0.8870     | 0.8333     | 0.8500     | 48     | 80     |
| reclining         | 0.4920     | 0.4583     | 0.6534     | 24     | 66     |
| flat              | 0.6292     | 0.6158     | 0.6627     | 203    | 321    |
| crossing legs     | 0.2947     | 0.5357     | 0.6495     | 28     | 131    |
| crossing arms     | 0.2099     | 0.3636     | 0.6376     | 11     | 181    |
| raising arm       | 0.6069     | 0.5000     | 0.7065     | 20     | 135    |
| chain-link        | 0.8814     | 0.8947     | 0.7789     | 57     | 90     |
| dressed warmly    | 0.8644     | 0.7500     | 0.8343     | 68     | 180    |
| dressed           | 0.9271     | 0.9247     | 0.8260     | 146    | 55     |
| camouflage        | 0.7462     | 0.7273     | 0.8214     | 11     | 71     |
| upholstered       | 0.8450     | 0.7692     | 0.7407     | 26     | 29     |
| modern            | 0.8009     | 0.7931     | 0.8024     | 58     | 76     |
| dark wood         | 0.6630     | 0.5957     | 0.7354     | 47     | 72     |
| bearded           | 0.3253     | 0.2368     | 0.5632     | 38     | 119    |
| well dressed      | 0.8913     | 0.1887     | 0.5755     | 53     | 40     |
| manicured         | 0.6526     | 0.3548     | 0.5504     | 31     | 32     |
| tattooed          | 0.4637     | 0.1818     | 0.6299     | 11     | 77     |
| rolled up         | 0.4323     | 0.5000     | 0.5317     | 22     | 109    |
| sparkling         | 0.4133     | 0.3333     | 0.5856     | 9      | 37     |
| reaching          | 0.6203     | 0.4348     | 0.7275     | 23     | 75     |
| disposable        | 0.6988     | 0.8611     | 0.8014     | 36     | 120    |
| glossy            | 0.6492     | 0.5882     | 0.5980     | 51     | 68     |
| tied              | 0.6665     | 0.6250     | 0.6934     | 32     | 58     |
| vintage           | 0.7593     | 0.8889     | 0.7670     | 9      | 31     |
| multi-story       | 0.8919     | 0.6429     | 0.7684     | 56     | 34     |
| cushioned         | 0.7816     | 0.7778     | 0.8092     | 36     | 69     |
| flat screen       | 0.8645     | 0.8947     | 0.7018     | 19     | 18     |
| filthy            | 0.3658     | 0.2857     | 0.6290     | 14     | 72     |
| shirtless         | 0.8636     | 0.7872     | 0.8224     | 47     | 140    |
| raised            | 0.6604     | 0.5000     | 0.6753     | 54     | 107    |
| reflective        | 0.6663     | 0.6489     | 0.7506     | 94     | 254    |
| short-sleeved     | 0.5787     | 0.7593     | 0.6480     | 54     | 178    |
| operating         | 0.8760     | 0.4000     | 0.6909     | 55     | 56     |
| relaxing          | 0.5934     | 0.2963     | 0.6365     | 27     | 43     |
| enjoying          | 0.4317     | 0.4286     | 0.4554     | 21     | 32     |
| barefoot          | 0.7950     | 0.4722     | 0.7163     | 36     | 84     |
| gloomy            | 0.7344     | 0.6000     | 0.7583     | 10     | 48     |
| crossed           | 0.7432     | 0.7619     | 0.8601     | 21     | 72     |
| partially eaten   | 0.4586     | 0.3000     | 0.5735     | 30     | 113    |
| mixed             | 0.7807     | 0.5000     | 0.7066     | 36     | 32     |
| hanging           | 0.8369     | 0.8127     | 0.8000     | 283    | 487    |
| carpeted          | 0.7379     | 0.7368     | 0.7663     | 19     | 66     |
| daytime           | 0.8815     | 0.8148     | 0.8168     | 27     | 28     |
| tree-covered      | 0.7734     | 0.8000     | 0.7917     | 20     | 42     |
| shaded            | 0.5853     | 0.3667     | 0.6026     | 30     | 39     |
| damaged           | 0.6310     | 0.4242     | 0.7439     | 33     | 91     |
| powdered          | 0.7197     | 0.6087     | 0.7686     | 23     | 107    |
| topless           | 0.8131     | 0.6957     | 0.8534     | 23     | 66     |
| barbed wire       | 0.2710     | 0.8750     | 0.7516     | 8      | 77     |
| shoulder length   | 0.3159     | 0.7037     | 0.6637     | 27     | 112    |
| braided           | 0.3893     | 0.5000     | 0.6460     | 6      | 125    |
| fried             | 0.6954     | 0.7333     | 0.7671     | 30     | 111    |
| dressed formally  | 0.7918     | 0.6122     | 0.7769     | 49     | 154    |
| smoking           | 0.1966     | 0.1429     | 0.5461     | 7      | 138    |
| leafy             | 0.9153     | 0.8652     | 0.8499     | 141    | 137    |
| outstretched      | 0.8052     | 0.8393     | 0.6324     | 56     | 48     |
| scattered         | 0.7561     | 0.5323     | 0.6659     | 62     | 56     |
| in a costume      | 0.5666     | 0.5385     | 0.7393     | 13     | 95     |
| decorative        | 0.8462     | 0.5333     | 0.7100     | 90     | 87     |
| wrapped           | 0.7111     | 0.5263     | 0.7173     | 57     | 139    |
| parking           | 0.9147     | 0.9338     | 0.7834     | 302    | 179    |
| batting           | 0.8266     | 0.7907     | 0.8716     | 43     | 240    |
| loose             | 0.8370     | 0.4889     | 0.6652     | 45     | 22     |
| cartoon           | 0.4295     | 0.6154     | 0.6556     | 13     | 109    |
| tagged            | 0.6031     | 0.7143     | 0.7689     | 21     | 68     |
| crowded           | 0.7818     | 0.6571     | 0.6869     | 70     | 71     |
| flowered          | 0.8515     | 0.8214     | 0.7909     | 28     | 62     |
| garbage           | 0.7228     | 0.6667     | 0.7139     | 15     | 77     |
| rippled           | 0.9020     | 0.7500     | 0.7970     | 48     | 37     |
| faded             | 0.7217     | 0.5493     | 0.7296     | 71     | 129    |
| spreading legs    | 0.6605     | 0.4250     | 0.6891     | 40     | 109    |
| spreading arms    | 0.8037     | 0.5938     | 0.7987     | 64     | 170    |
| used              | 0.7957     | 0.6500     | 0.7738     | 60     | 168    |
| raw               | 0.8949     | 0.6078     | 0.7620     | 51     | 80     |
| boxed             | 0.7473     | 0.7500     | 0.8355     | 12     | 76     |
| toy               | 0.8729     | 0.7692     | 0.8544     | 39     | 116    |
| ornate            | 0.6165     | 0.6304     | 0.6300     | 46     | 95     |
| barred            | 0.8863     | 0.6471     | 0.8060     | 34     | 62     |
| half filled       | 0.2850     | 0.3478     | 0.5457     | 23     | 108    |
| slippery          | 0.5815     | 0.6667     | 0.7218     | 21     | 57     |
| shiny blue        | 0.7088     | 0.5000     | 0.6690     | 14     | 52     |
| shaggy            | 0.6699     | 0.6111     | 0.7564     | 18     | 61     |
| tight             | 0.8195     | 0.8444     | 0.7994     | 45     | 98     |
| hooded            | 0.4811     | 0.5517     | 0.5967     | 29     | 94     |
| wavy              | 0.8828     | 0.6774     | 0.8017     | 31     | 27     |
| gloved            | 0.7594     | 0.5400     | 0.7352     | 50     | 115    |
| shoeless          | 0.4225     | 0.1765     | 0.5728     | 17     | 97     |
| sliding           | 0.5249     | 0.7500     | 0.6250     | 12     | 45     |
| military          | 0.7598     | 0.7647     | 0.8161     | 17     | 122    |
| sprinkled         | 0.7878     | 0.7222     | 0.7540     | 36     | 63     |
| catching          | 0.5536     | 0.5217     | 0.7322     | 23     | 129    |
| polo              | 0.3041     | 0.6000     | 0.5528     | 10     | 106    |
| covered in sugar  | 0.4754     | 0.9412     | 0.7090     | 17     | 28     |
| dense             | 0.7306     | 0.6842     | 0.6795     | 57     | 39     |
| whole             | 0.7896     | 0.3165     | 0.6074     | 79     | 63     |
| painted           | 0.7895     | 0.7470     | 0.7811     | 166    | 463    |
| woven             | 0.8861     | 0.9231     | 0.8244     | 39     | 76     |
| grilled           | 0.6753     | 0.7391     | 0.7507     | 23     | 94     |
| having fun        | 0.4550     | 0.2000     | 0.5211     | 35     | 59     |
| baked             | 0.7669     | 0.7059     | 0.7041     | 34     | 41     |
| displayed         | 0.6355     | 0.4865     | 0.5811     | 37     | 37     |
| sealed            | 0.7174     | 0.7561     | 0.7690     | 41     | 69     |
| sharp             | 0.9004     | 0.7867     | 0.7949     | 75     | 77     |
| black metal       | 0.5662     | 0.0645     | 0.4872     | 31     | 39     |
| thatched          | 0.2831     | 0.5556     | 0.5891     | 9      | 58     |
| littered          | 0.4006     | 0.4375     | 0.6531     | 16     | 160    |
| sparse            | 0.8010     | 0.4615     | 0.7021     | 26     | 53     |
| bald              | 0.6590     | 0.6379     | 0.6591     | 58     | 167    |
| toasted           | 0.8464     | 0.7778     | 0.7321     | 27     | 47     |
| doorless          | 0.3658     | 0.1579     | 0.5026     | 19     | 40     |
| baby              | 0.7779     | 0.7442     | 0.7492     | 86     | 128    |
| wild              | 0.6478     | 0.8750     | 0.5891     | 32     | 37     |
| long-sleeved      | 0.7937     | 0.7808     | 0.7621     | 73     | 117    |
| bare              | 0.9780     | 0.8634     | 0.8405     | 227    | 70     |
| taking selfie     | 0.3775     | 0.3846     | 0.7084     | 13     | 112    |
| flattened         | 0.6146     | 0.2203     | 0.5184     | 59     | 41     |
| carried           | 0.7464     | 0.5588     | 0.6618     | 34     | 51     |
| buttoned          | 0.8551     | 0.6842     | 0.7510     | 19     | 41     |
| excited           | 0.3897     | 0.1852     | 0.5545     | 27     | 102    |
| boiled            | 0.1388     | 0.3750     | 0.5893     | 8      | 56     |
| carved            | 0.5137     | 0.2826     | 0.5934     | 46     | 94     |
| smoky             | 0.7745     | 0.5000     | 0.6875     | 16     | 16     |
| turbulent         | 0.7385     | 0.5600     | 0.7000     | 25     | 50     |
| cooked            | 0.8916     | 0.8841     | 0.8588     | 69     | 130    |
| uneaten           | 0.8711     | 0.8158     | 0.6145     | 76     | 30     |
| busy              | 0.8105     | 0.8049     | 0.7921     | 41     | 64     |
| frozen            | 0.5779     | 0.4615     | 0.6655     | 13     | 56     |
| horned            | 0.7897     | 0.6842     | 0.7995     | 19     | 123    |
| sleeveless        | 0.7874     | 0.7619     | 0.8008     | 42     | 169    |
| peeled            | 0.8091     | 0.8125     | 0.9093     | 16     | 71     |
| sheer             | 0.6320     | 0.9000     | 0.8786     | 10     | 42     |
| many              | 0.8712     | 0.5776     | 0.6992     | 116    | 59     |
| scruffy           | 0.6473     | 0.8235     | 0.7084     | 17     | 59     |
| buried            | 0.0149     | 0.0000     | 0.4109     | 1      | 101    |
| melted            | 0.9423     | 0.9167     | 0.8466     | 24     | 11     |
| active            | 0.7970     | 0.4795     | 0.6647     | 73     | 60     |
| trimmed           | 0.7849     | 0.6905     | 0.7855     | 42     | 67     |
| broken            | 0.4691     | 0.3111     | 0.5346     | 45     | 81     |
| wispy             | 0.9210     | 0.7826     | 0.8746     | 23     | 26     |
| dead              | 0.8455     | 0.7976     | 0.7813     | 84     | 114    |
| ripe              | 0.9144     | 0.8929     | 0.7820     | 84     | 32     |
| piece             | 0.8437     | 0.8784     | 0.7690     | 74     | 55     |
| armless           | 0.6580     | 0.7797     | 0.6104     | 59     | 63     |
| rotten            | 0.6247     | 0.5385     | 0.7433     | 13     | 77     |
| curtainless       | 0.6496     | 0.4483     | 0.4470     | 58     | 33     |
| hairy             | 0.7616     | 0.7241     | 0.6591     | 58     | 48     |
| blank             | 0.6167     | 0.6719     | 0.5334     | 64     | 88     |
| chopped           | 0.9100     | 0.8125     | 0.8035     | 112    | 87     |
| mounted           | 0.8499     | 0.7872     | 0.6893     | 47     | 29     |
| hairless          | 0.8921     | 0.5758     | 0.7424     | 33     | 60     |
| fuzzy             | 0.7368     | 0.6000     | 0.7224     | 50     | 133    |
| falling           | 0.3962     | 0.2353     | 0.5621     | 17     | 63     |
| paved             | 0.9231     | 0.8418     | 0.8190     | 177    | 194    |
| electronic        | 0.9215     | 0.7250     | 0.8072     | 40     | 33     |
| sticking out      | 0.5184     | 0.3333     | 0.5920     | 18     | 32     |
| collared          | 0.7887     | 0.7347     | 0.7848     | 49     | 111    |
| doubledecker      | 0.8439     | 0.7826     | 0.8541     | 23     | 121    |
| almost empty      | 0.5987     | 0.3158     | 0.5388     | 38     | 37     |
| glazed            | 0.6504     | 0.4375     | 0.7167     | 16     | 30     |
| docked            | 0.8244     | 0.7059     | 0.7815     | 17     | 35     |
| submerged         | 0.3717     | 0.2609     | 0.6081     | 23     | 112    |
| slightly open     | 0.3749     | 0.6429     | 0.7545     | 14     | 144    |
| stopped           | 0.8244     | 0.6714     | 0.6675     | 70     | 72     |
| framed            | 0.9968     | 0.9549     | 0.9181     | 133    | 18     |
| sunbathing        | 0.7552     | 0.6429     | 0.8067     | 14     | 136    |
| plain             | 0.8586     | 0.4000     | 0.6250     | 20     | 18     |
| christmas         | 0.3593     | 0.3000     | 0.6331     | 10     | 118    |
| frizzy            | 0.7982     | 0.7143     | 0.8101     | 21     | 85     |
| interior          | 0.8622     | 0.5000     | 0.7123     | 68     | 66     |
| pinned            | 0.5939     | 0.5833     | 0.7241     | 12     | 37     |
| concentrating     | 0.6068     | 0.5926     | 0.6949     | 54     | 114    |
| knocked over      | 0.3422     | 0.2727     | 0.5839     | 11     | 143    |
| burnt             | 0.5399     | 0.3929     | 0.5770     | 56     | 129    |
| hitting           | 0.6366     | 0.7600     | 0.8045     | 25     | 106    |
| moving            | 0.7057     | 0.3811     | 0.6395     | 244    | 380    |
| baggy             | 0.7436     | 0.8393     | 0.7399     | 56     | 117    |
| dried             | 0.7272     | 0.5211     | 0.6382     | 71     | 89     |
| turned on         | 0.8489     | 0.7538     | 0.7934     | 65     | 88     |
| piled             | 0.7549     | 0.5917     | 0.6810     | 120    | 167    |
| puffy             | 0.7797     | 0.7333     | 0.7121     | 30     | 33     |
| scraggly          | 0.8545     | 0.7778     | 0.6647     | 36     | 28     |
| bushy             | 0.7918     | 0.8413     | 0.7183     | 63     | 90     |
| staring           | 0.7327     | 0.4688     | 0.6101     | 32     | 23     |
| holed             | 0.7636     | 0.7561     | 0.7157     | 41     | 77     |
| muscular          | 0.6593     | 0.6053     | 0.6627     | 38     | 71     |
| neat              | 0.7616     | 0.5556     | 0.6622     | 90     | 67     |
| abandoned         | 0.6187     | 0.5122     | 0.6963     | 41     | 184    |
| diagonal          | 0.8248     | 0.4118     | 0.7206     | 34     | 46     |
| wheeled           | 0.6650     | 0.4545     | 0.6534     | 44     | 72     |
| being used        | 0.7497     | 0.6933     | 0.7216     | 75     | 116    |
| partially visible | 0.6528     | 0.5263     | 0.6188     | 38     | 67     |
| nylon             | 0.6984     | 0.6667     | 0.7708     | 3      | 8      |
| ridged            | 0.4558     | 0.3810     | 0.5025     | 21     | 29     |
| backless          | 0.6673     | 0.4872     | 0.6791     | 39     | 62     |
| unmade            | 0.8340     | 0.6522     | 0.8124     | 23     | 73     |
| pulled back       | 0.3338     | 0.6842     | 0.5692     | 19     | 73     |
| side view         | 0.6872     | 0.6316     | 0.6694     | 19     | 32     |
| chipped           | 0.5731     | 0.3000     | 0.5662     | 20     | 34     |
| perched           | 0.8539     | 0.9167     | 0.8542     | 12     | 40     |
| overgrown         | 0.6802     | 0.9048     | 0.7268     | 21     | 57     |
| numbered          | 0.6613     | 0.5455     | 0.6623     | 33     | 77     |
