| Name              | AP         | Recall@K   | B.Accuracy | N_Pos  | N_Neg  |
| low               | 0.7270     | 0.3594     | 0.6412     | 64     | 207    |
| tall              | 0.8960     | 0.8254     | 0.7825     | 859    | 572    |
| short             | 0.7950     | 0.6135     | 0.7281     | 370    | 716    |
| long              | 0.8154     | 0.7816     | 0.7377     | 806    | 913    |
| wide              | 0.7910     | 0.6164     | 0.7027     | 378    | 437    |
| narrow            | 0.7332     | 0.5977     | 0.7156     | 87     | 161    |
| slim              | 0.5722     | 0.1556     | 0.5455     | 45     | 62     |
| thin              | 0.7141     | 0.5945     | 0.6815     | 402    | 642    |
| chubby            | 0.2807     | 0.0769     | 0.5318     | 26     | 116    |
| fat               | 0.4613     | 0.2500     | 0.5978     | 56     | 213    |
| slender           | 0.8027     | 0.4118     | 0.6592     | 34     | 29     |
| skinny            | 0.7229     | 0.4811     | 0.6891     | 106    | 271    |
| huge              | 0.5934     | 0.4419     | 0.6594     | 215    | 542    |
| small             | 0.6856     | 0.7115     | 0.6920     | 922    | 1570   |
| large             | 0.7572     | 0.7509     | 0.7377     | 1429   | 2118   |
| little            | 0.7148     | 0.6824     | 0.7591     | 148    | 322    |
| tiny              | 0.5739     | 0.6087     | 0.6938     | 69     | 209    |
| thick             | 0.7930     | 0.6640     | 0.7481     | 247    | 451    |
| deep              | 0.7504     | 0.6486     | 0.6840     | 37     | 26     |
| shallow           | 0.7095     | 0.6667     | 0.8027     | 30     | 74     |
| aluminum          | 0.7306     | 0.5714     | 0.5714     | 7      | 77     |
| asphalt           | 0.8570     | 0.7692     | 0.8445     | 52     | 213    |
| bamboo            | 0.1647     | 0.2500     | 0.6217     | 8      | 454    |
| brick             | 0.9103     | 0.7667     | 0.8418     | 420    | 764    |
| cardboard         | 0.8710     | 0.8800     | 0.8538     | 50     | 185    |
| ceramic           | 0.7620     | 0.6571     | 0.7665     | 70     | 339    |
| chocolate         | 0.8511     | 0.8421     | 0.9050     | 38     | 312    |
| chrome            | 0.6948     | 0.6842     | 0.7802     | 38     | 211    |
| clay              | 0.8768     | 0.8478     | 0.8744     | 46     | 162    |
| cloth             | 0.9283     | 0.4615     | 0.6565     | 52     | 11     |
| cobblestone       | 0.1962     | 0.2353     | 0.5416     | 17     | 348    |
| concrete          | 0.7125     | 0.5591     | 0.7144     | 254    | 757    |
| denim             | 0.9065     | 0.9016     | 0.8856     | 61     | 246    |
| dirt              | 0.7394     | 0.6571     | 0.7569     | 105    | 765    |
| fabric            | 0.7913     | 0.4082     | 0.6800     | 49     | 408    |
| fluffy            | 0.8692     | 0.8750     | 0.8347     | 120    | 167    |
| foamy             | 0.8338     | 0.8889     | 0.8439     | 27     | 89     |
| furry             | 0.8222     | 0.7946     | 0.8455     | 112    | 175    |
| glass             | 0.8952     | 0.8031     | 0.8610     | 447    | 1155   |
| granite           | 0.7408     | 0.4828     | 0.7190     | 29     | 194    |
| gravel            | 0.6754     | 0.6250     | 0.7301     | 32     | 251    |
